setting,qs,seed,model,dim,rank_rho
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,gpc,12,0.5714285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,svc,4,0.39285714285714296
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,svc,6,-0.03571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,svc,8,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,svc,10,0.5714285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,42,svc,12,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,gpc,4,0.6071428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,gpc,6,0.8214285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,gpc,8,0.8214285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,gpc,10,0.7857142857142859
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,gpc,12,0.5714285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,svc,4,0.39285714285714296
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,svc,6,-0.03571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,svc,8,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,svc,10,0.5714285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,123,999,svc,12,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,gpc,4,0.4642857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,gpc,6,0.3571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,gpc,8,0.9285714285714288
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,gpc,10,0.0
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,gpc,12,-0.14285714285714288
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,svc,4,0.07207499701564472
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,svc,6,0.6785714285714287
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,svc,8,0.6785714285714287
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,svc,10,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,123,svc,12,0.25
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,gpc,4,0.4642857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,gpc,6,0.3571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,gpc,8,0.9285714285714288
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,gpc,10,0.0
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,gpc,12,-0.14285714285714288
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,svc,4,0.1785714285714286
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,svc,6,0.8214285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,svc,8,0.6785714285714287
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,svc,10,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,42,svc,12,0.25
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,gpc,4,0.4642857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,gpc,6,0.3571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,gpc,8,0.9285714285714288
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,gpc,10,0.0
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,gpc,12,-0.14285714285714288
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,svc,4,0.07207499701564472
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,svc,6,0.6785714285714287
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,svc,8,0.6785714285714287
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,svc,10,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,2024,999,svc,12,0.25
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,gpc,4,0.7500000000000002
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,gpc,6,0.42857142857142866
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,gpc,8,-0.1785714285714286
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,gpc,10,0.03571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,gpc,12,0.28571428571428575
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,svc,4,0.39285714285714296
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,svc,6,0.6785714285714287
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,svc,8,0.28571428571428575
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,svc,10,-0.10714285714285716
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,123,svc,12,-0.03571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,gpc,4,0.7500000000000002
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,gpc,6,0.42857142857142866
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,gpc,8,-0.1785714285714286
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,gpc,10,0.03571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,gpc,12,0.28571428571428575
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,svc,4,0.39285714285714296
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,svc,6,0.6785714285714287
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,svc,8,0.28571428571428575
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,svc,10,-0.10714285714285716
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,42,svc,12,-0.03571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,gpc,4,0.7500000000000002
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,gpc,6,0.42857142857142866
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,gpc,8,-0.1785714285714286
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,gpc,10,0.03571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,gpc,12,0.28571428571428575
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,svc,4,0.39285714285714296
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,svc,6,0.6785714285714287
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,svc,8,0.28571428571428575
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,svc,10,-0.10714285714285716
m1_hist_byteent__ms999__q2000_id1000_ood1000,42,999,svc,12,-0.03571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,gpc,4,0.5357142857142858
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,gpc,6,0.7857142857142859
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,gpc,8,0.9285714285714288
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,gpc,10,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,gpc,12,-0.5714285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,svc,4,0.8571428571428573
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,svc,6,0.7500000000000002
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,svc,8,0.7387687194103584
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,svc,10,0.642857142857143
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,123,svc,12,0.3571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,gpc,4,0.5357142857142858
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,gpc,6,0.7857142857142859
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,gpc,8,0.9285714285714288
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,gpc,10,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,gpc,12,-0.5714285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,svc,4,0.8571428571428573
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,svc,6,0.7500000000000002
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,svc,8,0.7387687194103584
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,svc,10,0.642857142857143
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,42,svc,12,0.3571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,gpc,4,0.5357142857142858
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,gpc,6,0.7857142857142859
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,gpc,8,0.9285714285714288
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,gpc,10,0.7142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,gpc,12,-0.5714285714285715
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,svc,4,0.8571428571428573
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,svc,6,0.7500000000000002
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,svc,8,0.7387687194103584
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,svc,10,0.642857142857143
m1_hist_byteent__ms999__q2000_id1000_ood1000,7,999,svc,12,0.3571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,gpc,4,0.7857142857142859
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,gpc,6,0.8571428571428573
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,gpc,8,-0.21428571428571433
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,gpc,10,0.3571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,gpc,12,-0.07142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,svc,4,0.5357142857142858
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,svc,6,0.642857142857143
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,svc,8,-0.07142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,svc,10,-0.42857142857142866
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,123,svc,12,-0.28571428571428575
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,gpc,4,0.7857142857142859
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,gpc,6,0.8571428571428573
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,gpc,8,-0.21428571428571433
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,gpc,10,0.3571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,gpc,12,-0.07142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,svc,4,0.5357142857142858
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,svc,6,0.642857142857143
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,svc,8,-0.07142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,svc,10,-0.42857142857142866
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,42,svc,12,-0.28571428571428575
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,gpc,4,0.7857142857142859
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,gpc,6,0.8571428571428573
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,gpc,8,-0.21428571428571433
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,gpc,10,0.3571428571428572
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,gpc,12,-0.07142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,svc,4,0.5357142857142858
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,svc,6,0.642857142857143
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,svc,8,-0.07142857142857144
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,svc,10,-0.42857142857142866
m1_hist_byteent__ms999__q2000_id1000_ood1000,999,999,svc,12,-0.28571428571428575
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,gpc,4,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,gpc,6,0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,gpc,8,0.8108437164260032
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,gpc,10,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,gpc,12,0.7500000000000002
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,svc,4,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,svc,6,0.9285714285714288
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,svc,8,0.9285714285714288
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,svc,10,-0.5
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,123,svc,12,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,gpc,4,0.642857142857143
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,gpc,6,0.42857142857142866
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,gpc,8,0.8108437164260032
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,gpc,10,0.21428571428571433
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,gpc,12,0.7857142857142859
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,svc,4,0.42857142857142866
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,svc,6,0.8928571428571429
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,svc,8,0.9285714285714288
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,svc,10,-0.28571428571428575
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,42,svc,12,0.7857142857142859
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,gpc,4,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,gpc,6,0.42857142857142866
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,gpc,8,0.8108437164260032
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,gpc,10,0.21428571428571433
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,gpc,12,0.7500000000000002
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,svc,4,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,svc,6,0.8928571428571429
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,svc,8,0.9285714285714288
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,svc,10,-0.5
m1_hist_byteent__ms999__q4000_id1800_ood1800,123,999,svc,12,0.7857142857142859
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,gpc,4,0.10714285714285716
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,gpc,6,0.7207499701564473
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,gpc,8,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,gpc,10,-0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,gpc,12,-0.14285714285714288
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,svc,4,0.4642857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,svc,6,0.7857142857142859
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,svc,8,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,svc,10,0.10714285714285716
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,123,svc,12,-0.07142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,gpc,4,0.10714285714285716
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,gpc,6,0.7207499701564473
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,gpc,8,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,gpc,10,-0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,gpc,12,-0.14285714285714288
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,svc,4,0.4642857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,svc,6,0.7857142857142859
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,svc,8,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,svc,10,0.10714285714285716
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,42,svc,12,-0.07142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,gpc,4,0.10714285714285716
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,gpc,6,0.7207499701564473
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,gpc,8,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,gpc,10,-0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,gpc,12,-0.14285714285714288
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,svc,4,0.4642857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,svc,6,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,svc,8,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,svc,10,0.28571428571428575
m1_hist_byteent__ms999__q4000_id1800_ood1800,2024,999,svc,12,-0.07142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,gpc,4,0.21428571428571433
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,gpc,6,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,gpc,8,0.4642857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,gpc,10,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,gpc,12,0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,svc,4,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,svc,6,0.5
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,svc,8,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,svc,10,-0.6785714285714287
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,123,svc,12,-0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,gpc,4,0.21428571428571433
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,gpc,6,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,gpc,8,0.4642857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,gpc,10,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,gpc,12,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,svc,4,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,svc,6,0.5
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,svc,8,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,svc,10,-0.6785714285714287
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,42,svc,12,-0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,gpc,4,0.21428571428571433
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,gpc,6,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,gpc,8,0.4642857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,gpc,10,0.39285714285714296
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,gpc,12,0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,svc,4,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,svc,6,0.5
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,svc,8,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,svc,10,-0.6785714285714287
m1_hist_byteent__ms999__q4000_id1800_ood1800,42,999,svc,12,-0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,gpc,4,0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,gpc,6,0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,gpc,8,0.07142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,gpc,10,0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,gpc,12,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,svc,4,0.8928571428571429
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,svc,6,0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,svc,8,0.3571428571428572
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,svc,10,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,123,svc,12,-0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,gpc,4,0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,gpc,6,0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,gpc,8,0.07142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,gpc,10,0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,gpc,12,0.1785714285714286
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,svc,4,0.8928571428571429
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,svc,6,0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,svc,8,0.28571428571428575
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,svc,10,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,42,svc,12,-0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,gpc,4,0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,gpc,6,0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,gpc,8,0.07142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,gpc,10,0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,gpc,12,0.1785714285714286
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,svc,4,0.8928571428571429
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,svc,6,0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,svc,8,0.3571428571428572
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,svc,10,0.3214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,7,999,svc,12,-0.5714285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,gpc,4,0.6666937223947137
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,gpc,6,0.9642857142857145
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,gpc,8,0.8571428571428573
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,gpc,10,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,gpc,12,0.21428571428571433
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,svc,4,0.4642857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,svc,6,0.3571428571428572
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,svc,8,0.9642857142857145
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,svc,10,0.8214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,123,svc,12,0.21428571428571433
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,gpc,4,0.5585812268712466
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,gpc,6,0.9642857142857145
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,gpc,8,0.8571428571428573
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,gpc,10,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,gpc,12,0.28571428571428575
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,svc,4,0.5357142857142858
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,svc,6,0.3571428571428572
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,svc,8,0.9642857142857145
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,svc,10,0.8214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,42,svc,12,0.21428571428571433
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,gpc,4,0.5585812268712466
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,gpc,6,0.9642857142857145
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,gpc,8,0.8571428571428573
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,gpc,10,0.7142857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,gpc,12,0.21428571428571433
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,svc,4,0.4642857142857144
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,svc,6,0.28571428571428575
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,svc,8,1.0
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,svc,10,0.8214285714285715
m1_hist_byteent__ms999__q4000_id1800_ood1800,999,999,svc,12,0.21428571428571433
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,gpc,4,0.5714285714285715
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,gpc,6,0.8214285714285715
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,gpc,8,0.6785714285714287
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,gpc,10,0.9285714285714288
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,gpc,12,0.6071428571428572
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,4,0.8571428571428573
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,6,0.9272727272727274
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,8,0.8153742483272114
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,10,0.8214285714285715
m2_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,12,0.8571428571428573
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,gpc,4,0.5714285714285715
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,gpc,6,0.8214285714285715
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,gpc,8,0.6785714285714287
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,gpc,10,0.9285714285714288
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,gpc,12,0.6071428571428572
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,4,0.8571428571428573
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,6,0.9272727272727274
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,8,0.8153742483272114
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,10,0.8214285714285715
m2_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,12,0.8571428571428573
m2_hist_byteent__ms123__q1000_id500_ood500,123,999,gpc,4,0.5714285714285715
